Owner,Team,League,Recipient,Amount,Election Year,Party,City,State
Adam Silver,Commissioner,NBA,WRIGHT 2016,4000,2016,Democrat,New York, New York
Adam Silver,Commissioner,NBA,BIDEN FOR PRESIDENT,2800,2020,Democrat,New York, New York
Adam Silver,Commissioner,NBA,CORY 2020,2700,2020,Democrat,New York, New York
Adam Silver,Commissioner,NBA,Kamala Harris for the People,2700,2020,Democrat,New York, New York
Adam Silver,Commissioner,NBA,Win The Era PAC,2700,2020,Democrat,New York, New York
Adam Silver,Commissioner,NBA,KOHL FOR CONGRESS,2000,2018,Democrat,New York, New York
Adam Silver,Commissioner,NBA,BETO FOR TEXAS,1000,2018,Democrat,New York, New York
Adam Silver,Commissioner,NBA,MONTANANS FOR TESTER,1000,2018,Democrat,New York, New York
Adam Silver,Commissioner,NBA,SERVE AMERICA PAC,1000,2018,Democrat,New York, New York
Adam Silver,Commissioner,NBA,ADAM SCHLEIFER FOR CONGRESS,1000,2020,Democrat,New York, New York
Adam Silver,Commissioner,NBA,ELISSA SLOTKIN FOR CONGRESS,1000,2020,Democrat,New York, New York
Adam Silver,Commissioner,NBA,DELGADO FOR CONGRESS,500,2018,Democrat,New York, New York
Alan Smolinisky,Los Angeles Dodgers,MLB,Americans for Tomorrow's Future,10000,2020,N/A,Los Angeles, California
Alan Smolinisky,Los Angeles Dodgers,MLB,Stand with Sanchez,2800,2020,Democrat,Los Angeles, California
Alex Meruelo,Arizona Coyotes,NHL,All For Our Country Leadership PAC ,5000,2020,Democrat,Phoenix, Arizona
Alex Meruelo,Arizona Coyotes,NHL,Nevadans for Steven Horsford,2800,2020,Democrat,Phoenix, Arizona
Alex Meruelo,Arizona Coyotes,NHL,Esmeralda Soria for Congress,500,2020,Democrat,Phoenix, Arizona
Amy Adams Strunk,Tennessee Titans,NFL,Gridiron-PAC,10000,2016,Bipartisan,Nashville, Tennessee
Amy Adams Strunk,Tennessee Titans,NFL,Gridiron-PAC,10000,2018,Bipartisan,Nashville, Tennessee
Amy Adams Strunk,Tennessee Titans,NFL,Gridiron-PAC,5000,2020,Bipartisan,Nashville, Tennessee
Amy Adams Strunk,Tennessee Titans,NFL,Portman for Senate Committee,2700,2016,Republican,Nashville, Tennessee
Amy Adams Strunk,Tennessee Titans,NFL,Republican National Committee,400,2016,Republican,Nashville, Tennessee
Andrew Murstein,Richard Petty Motorsports,NASCAR,Right to Rise USA,1000,2016,Republican,Statesville, North Carolina
Andrew Murstein,Richard Petty Motorsports,NASCAR,Hillary Victory Fund,1000,2016,Democrat,Statesville, North Carolina
Arte Moreno,Los Angeles Angels of Anaheim,MLB,MCCONNELL FOR MAJORITY LEADER COMMITTEE,10600,2020,Republican,Los Angeles, California
Arte Moreno,Los Angeles Angels of Anaheim,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,10000,2016,Bipartisan,Los Angeles, California
Arte Moreno,Los Angeles Angels of Anaheim,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,10000,2018,Bipartisan,Los Angeles, California
Arte Moreno,Los Angeles Angels of Anaheim,MLB,COLLINS FOR SENATOR,5600,2020,Republican,Los Angeles, California
Arte Moreno,Los Angeles Angels of Anaheim,MLB,TIFFANY SHEDD FOR CONGRESS COMMITTEE,5600,2020,Republican,Los Angeles, California
Arte Moreno,Los Angeles Angels of Anaheim,MLB,MCSALLY FOR SENATE INC,5400,2018,Republican,Los Angeles, California
Arte Moreno,Los Angeles Angels of Anaheim,MLB,Trump Victory,5400,2018,Republican,Los Angeles, California
Arte Moreno,Los Angeles Angels of Anaheim,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,5000,2020,Bipartisan,Los Angeles, California
Arthur Blank,Atlanta Falcons,NFL,Biden Victory Fund,35500,2020,Democrat,Atlanta, Georgia
Arthur Blank,Atlanta Falcons,NFL,Hillary Victory Fund,25000,2016,Democrat,Atlanta, Georgia
Arthur Blank,Atlanta Falcons,NFL,Bullock Victory Fund,15600,2020,Democrat,Atlanta, Georgia
Arthur Blank,Atlanta Falcons,NFL,Gridiron-PAC,10000,2016,Bipartisan,Atlanta, Georgia
Arthur Blank,Atlanta Falcons,NFL,Georgia Federal Elections Committee,10000,2018,Democrat,Atlanta, Georgia
Arthur Blank,Atlanta Falcons,NFL,Gridiron-PAC,10000,2020,Bipartisan,Atlanta, Georgia
Arthur Blank,Atlanta Falcons,NFL,Georgians For Isakson,5400,2016,Republican,Atlanta, Georgia
Arthur Blank,Atlanta Falcons,NFL,Hillary For America,5400,2016,Democrat,Atlanta, Georgia
Arthur Blank,Atlanta Falcons,NFL,Montanans For Tester,5400,2018,Democrat,Atlanta, Georgia
Arthur Blank,Atlanta Falcons,NFL,Tester Victory Fund,5400,2018,Democrat,Atlanta, Georgia
Arthur Blank,Atlanta Falcons,NFL,Gridiron-PAC,5000,2018,Bipartisan,Atlanta, Georgia
Arthur Blank,Atlanta Falcons,NFL,The Home Depot Inc. Political Action Committee,5000,2020,"Bipartisan, but mostly Republican",Atlanta, Georgia
Arthur Blank,Atlanta Falcons,NFL,Homrich Congress,2800,2020,Republican,Atlanta, Georgia
Arthur Blank,Atlanta Falcons,NFL,Evan Bayh Committee,1000,2016,Democrat,Atlanta, Georgia
Arthur J. Rooney II,Pittsburgh Steelers,NFL,NORTH SIDE GOOD GOVERNMENT COMMITTEE,14000,2018,Bipartisan,Pittsburgh, Pennsylvania
Arthur J. Rooney II,Pittsburgh Steelers,NFL,NORTH SIDE GOOD GOVERNMENT COMMITTEE,12000,2016,Bipartisan,Pittsburgh, Pennsylvania
Arthur J. Rooney II,Pittsburgh Steelers,NFL,Gridiron-PAC,10000,2016,Bipartisan,Pittsburgh, Pennsylvania
Arthur J. Rooney II,Pittsburgh Steelers,NFL,Gridiron-PAC,10000,2018,Bipartisan,Pittsburgh, Pennsylvania
Arthur J. Rooney II,Pittsburgh Steelers,NFL,BIDEN FOR PRESIDENT,5000,2020,Democrat,Pittsburgh, Pennsylvania
Arthur J. Rooney II,Pittsburgh Steelers,NFL,Gridiron-PAC,5000,2020,Bipartisan,Pittsburgh, Pennsylvania
Arthur J. Rooney II,Pittsburgh Steelers,NFL,NORTH SIDE GOOD GOVERNMENT COMMITTEE,5000,2020,Bipartisan,Pittsburgh, Pennsylvania
Arthur J. Rooney II,Pittsburgh Steelers,NFL,BOB CASEY FOR SENATE INC,2700,2018,Democrat,Pittsburgh, Pennsylvania
Arthur J. Rooney II,Pittsburgh Steelers,NFL,REDWINGMCPAC,2400,2018,Republican,Pittsburgh, Pennsylvania
Arthur J. Rooney II,Pittsburgh Steelers,NFL,BILL SHUSTER FOR CONGRESS,2000,2016,Republican,Pittsburgh, Pennsylvania
Arthur J. Rooney II,Pittsburgh Steelers,NFL,FRIENDS OF PAT TOOMEY,2000,2016,Republican,Pittsburgh, Pennsylvania
Arthur J. Rooney II,Pittsburgh Steelers,NFL,O'MALLEY FOR PRESIDENT,2000,2016,Democrat,Pittsburgh, Pennsylvania
Arthur J. Rooney II,Pittsburgh Steelers,NFL,F.N.B. CORPORATION PAC,1150,2016,Republican,Pittsburgh, Pennsylvania
Arthur J. Rooney II,Pittsburgh Steelers,NFL,CONOR LAMB FOR CONGRESS,1000,2020,Democrat,Pittsburgh, Pennsylvania
Bill Cameron,Dallas Wings,WNBA,TRUSTED LEADERSHIP PAC,25000,2016,Republican,Dallas, Texas
Bill Cameron,Dallas Wings,WNBA,AMERICAN FIDELITY CORPORATION POLITICAL ACTION COMMITTEE,13103,2018,"Bipartisan, but mostly Republican",Dallas, Texas
Bill Cameron,Dallas Wings,WNBA,AMERICAN FIDELITY CORPORATION POLITICAL ACTION COMMITTEE,12138,2016,"Bipartisan, but mostly Republican",Dallas, Texas
Bill Cameron,Dallas Wings,WNBA,TED CRUZ VICTORY COMMITTEE,7700,2018,Republican,Dallas, Texas
Bill Cameron,Dallas Wings,WNBA,AMERICAN FIDELITY CORPORATION POLITICAL ACTION COMMITTEE,6852,2020,"Bipartisan, but mostly Republican",Dallas, Texas
Bill Cameron,Dallas Wings,WNBA,LUCAS FOR CONGRESS,3687,2016,Republican,Dallas, Texas
Bill Cameron,Dallas Wings,WNBA,HILLARY VICTORY FUND,2700,2016,Democrat,Dallas, Texas
Bill Cameron,Dallas Wings,WNBA,BETH LINDSTROM FOR US SENATE INC,2700,2018,Republican,Dallas, Texas
Bill Cameron,Dallas Wings,WNBA,LUCAS FOR CONGRESS,2000,2018,Republican,Dallas, Texas
Bill Cameron,Dallas Wings,WNBA,MCSALLY FOR SENATE INC,1000,2018,Republican,Dallas, Texas
Bill Cameron,Dallas Wings,WNBA,HERN FOR CONGRESS,1000,2020,Republican,Dallas, Texas
Bill Cameron,Dallas Wings,WNBA,THOM TILLIS COMMITTEE,1000,2020,Republican,Dallas, Texas
Bill Cameron,Dallas Wings,WNBA,FAMILIES FOR JAMES LANKFORD,421,2016,Republican,Dallas, Texas
Bill Dewitt Jr.,St. Louis Cardinals,MLB,Boehner for Speaker,18675,2016,Republican,St. Louis, Missouri
Bill Dewitt Jr.,St. Louis Cardinals,MLB,Portman Victory Committee,15000,2016,Republican,St. Louis, Missouri
Bill Dewitt Jr.,St. Louis Cardinals,MLB,Missouri Republican State Committee-Federal,10000,2016,Republican,St. Louis, Missouri
Bill Dewitt Jr.,St. Louis Cardinals,MLB,Portman-Ohio Victory Committee,5000,2016,Republican,St. Louis, Missouri
Bill Dewitt Jr.,St. Louis Cardinals,MLB,The Committee to Elect Delegates,5000,2016,Republican,St. Louis, Missouri
Bill Dewitt Jr.,St. Louis Cardinals,MLB,McConnell for Majority Leader Committee,5000,2018,Republican,St. Louis, Missouri
Bill Dewitt Jr.,St. Louis Cardinals,MLB,McConnell Senate Committee ,5000,2018,Republican,St. Louis, Missouri
Bill Dewitt Jr.,St. Louis Cardinals,MLB,Ohio Republican Party State Central & Executive Committee,5000,2018,Republican,St. Louis, Missouri
Bill Dewitt Jr.,St. Louis Cardinals,MLB,Promoting Our Republican Team PAC,5000,2018,Republican,St. Louis, Missouri
Bill Dewitt Jr.,St. Louis Cardinals,MLB,Jeb 2016. Inc.,2700,2016,Republican,St. Louis, Missouri
Bill Dewitt Jr.,St. Louis Cardinals,MLB,"Ron Johnson for Senate, Inc.",2700,2016,Republican,St. Louis, Missouri
Bill Dewitt Jr.,St. Louis Cardinals,MLB,Lindsey Graham 2016,2500,2016,Republican,St. Louis, Missouri
Bill Dewitt Jr.,St. Louis Cardinals,MLB,Wenstrup for Congress,2000,2016,Republican,St. Louis, Missouri
Bill Dewitt Jr.,St. Louis Cardinals,MLB,Bill Nelson for US Senate,1000,2018,Democrat,St. Louis, Missouri
Bill Dewitt Jr.,St. Louis Cardinals,MLB,Alaskans for Dan Sullivan,1000,2020,Republican,St. Louis, Missouri
Bill Dewitt Jr.,St. Louis Cardinals,MLB,Brad Wenstrup Victory Fund,1000,2020,Republican,St. Louis, Missouri
Bill Dewitt Jr.,St. Louis Cardinals,MLB,Ohio Republican Party State Central & Executive Committee,1000,2020,Republican,St. Louis, Missouri
Bill Dewitt Jr.,St. Louis Cardinals,MLB,Steve Daines for Montana,500,2020,Republican,St. Louis, Missouri
Bill Foley,Vegas Golden Knights,NHL,1820 PAC,250000,2020,Republican,Las Vegas, Neveda
Bill Foley,Vegas Golden Knights,NHL,TRUMP VICTORY,250000,2020,Republican,Las Vegas, Neveda
Bill Foley,Vegas Golden Knights,NHL,NEW REPUBLICAN PAC,206100,2018,Republican,Las Vegas, Neveda
Bill Foley,Vegas Golden Knights,NHL,DEFENDARIZONA,100000,2018,Republican,Las Vegas, Neveda
Bill Foley,Vegas Golden Knights,NHL,SENATE LEADERSHIP FUND,82300,2018,Republican,Las Vegas, Neveda
Bill Foley,Vegas Golden Knights,NHL,RICK SCOTT VICTORY FUND,36600,2018,Republican,Las Vegas, Neveda
Bill Foley,Vegas Golden Knights,NHL,MCSALLY ARIZONA VICTORY FUND,20400,2018,Republican,Las Vegas, Neveda
Bill Foley,Vegas Golden Knights,NHL,HELLER VICTORY COMMITTEE,17700,2018,Republican,Las Vegas, Neveda
Bill Foley,Vegas Golden Knights,NHL,ROSENDALE VICTORY FUND,15300,2018,Republican,Las Vegas, Neveda
Bill Foley,Vegas Golden Knights,NHL,HOUSLEY FOR SENATE COMMITTEE,5400,2018,Republican,Las Vegas, Neveda
Bill Foley,Vegas Golden Knights,NHL,JOSH HAWLEY FOR SENATE,5400,2018,Republican,Las Vegas, Neveda
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,TRUMP VICTORY,17501,2020,Republican,Las Vegas, Neveda
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,NEVADANS FOR STEVEN HORSFORD,5600,2020,Democrat,Las Vegas, Neveda
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,SUSIE LEE FOR CONGRESS,5600,2020,Democrat,Las Vegas, Neveda
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,HELLER FOR SENATE,5400,2018,Republican,Las Vegas, Neveda
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,NEVADANS FOR STEVEN HORSFORD,5400,2018,Democrat,Las Vegas, Neveda
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,SUSIE LEE FOR CONGRESS,5400,2018,Democrat,Las Vegas, Neveda
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,AMERICAN POSSIBILITIES PAC,5000,2018,Democrat,Las Vegas, Neveda
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,BIDEN FOR PRESIDENT,2800,2020,Democrat,Las Vegas, Neveda
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,ACTBLUE,1120,2020,Democrat,Las Vegas, Neveda
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,ROMNEY FOR UTAH INC,1000,2018,Republican,Las Vegas, Neveda
Billie Jean King,Los Angeles Dodgers,MLB,Amy for America,2800,2020,Democrat,Los Angeles, California
Billie Jean King,Los Angeles Dodgers,MLB,"Amy McGrath for Senate, Inc.",2800,2020,Democrat,Los Angeles, California
Billie Jean King,Los Angeles Dodgers,MLB,Biden for President,2800,2020,Democrat,Los Angeles, California
Billie Jean King,Los Angeles Dodgers,MLB,DSCC,1400,2020,Democrat,Los Angeles, California
Billie Jean King,Los Angeles Dodgers,MLB,Jaime Harrison for US Senate,1400,2020,Democrat,Los Angeles, California
Bob Nutting,Pittsburgh Pirates,MLB,Office of the Commissioner of Major League Baseball PAC,10000,2016,Bipartisan,Pittsburgh, Pennsylvania
Bob Nutting,Pittsburgh Pirates,MLB,Office of the Commissioner of Major League Baseball PAC,10000,2018,Bipartisan,Pittsburgh, Pennsylvania
Bob Nutting,Pittsburgh Pirates,MLB,Office of the Commissioner of Major League Baseball PAC,5000,2020,Bipartisan,Pittsburgh, Pennsylvania
Bob R. Simpson,Texas Rangers,MLB,Office of the Commissioner of Major League Baseball PAC,3000,2018,Bipartisan,Arlington, Texas
Bob R. Simpson,Texas Rangers,MLB,Office of the Commissioner of Major League Baseball PAC,1000,2016,Bipartisan,Arlington, Texas
Bob R. Simpson,Texas Rangers,MLB,Office of the Commissioner of Major League Baseball PAC,1000,2020,Bipartisan,Arlington, Texas
Bobby Patton,Los Angeles Dodgers,MLB,Hillary Victory Fund,36100,2016,Democrat,Los Angeles, California
Bruce Sherman,Miami Marlins,MLB,Office of the Commissioner of Major League Baseball PAC,5000,2020,Bipartisan,Miami, Florida
Bruce Sherman,Miami Marlins,MLB,Ro for Congress,2700,2018,Democrat,Miami, Florida
Bruce Sherman,Miami Marlins,MLB,Ro for Congress,1000,2020,Democrat,Miami, Florida
Bryan Glazer,Tampa Bay Buccaneers,NFL,Gridiron-PAC,10000,2016,Bipartisan,Tampa Bay, Florida
Bryan Glazer,Tampa Bay Buccaneers,NFL,Gridiron-PAC,10000,2018,Bipartisan,Tampa Bay, Florida
Bryan Glazer,Tampa Bay Buccaneers,NFL,Charlie Crist for Congress,5600,2020,Democrat,Tampa Bay, Florida
Bryan Glazer,Tampa Bay Buccaneers,NFL,Charlie Crist for Congress,5400,2018,Democrat,Tampa Bay, Florida
Bryan Glazer,Tampa Bay Buccaneers,NFL,Gridiron-PAC,5000,2020,Bipartisan,Tampa Bay, Florida
Bryan Glazer,Tampa Bay Buccaneers,NFL,Charlie Crist for Congress,2700,2016,Democrat,Tampa Bay, Florida
Bryan Glazer,Tampa Bay Buccaneers,NFL,Rick Scott for Florida,2700,2018,Republican,Tampa Bay, Florida
Carole Moreno,Los Angeles Angels of Anaheim,MLB,McConnell for Majority Leader Committee,10600,2020,Republican,Los Angeles, California
Carole Moreno,Los Angeles Angels of Anaheim,MLB,Office of the Commissioner of Major League Baseball Political Action Committee,10000,2018,Bipartisan,Los Angeles, California
Carole Moreno,Los Angeles Angels of Anaheim,MLB,Collins for Senator,5600,2020,Republican,Los Angeles, California
Carole Moreno,Los Angeles Angels of Anaheim,MLB,Tiffany Shedd for Congress Committee,5600,2020,Republican,Los Angeles, California
Carole Moreno,Los Angeles Angels of Anaheim,MLB,McSally for Senate Inc.,5400,2018,Republican,Los Angeles, California
Carole Moreno,Los Angeles Angels of Anaheim,MLB,Trump Victory,5400,2018,Republican,Los Angeles, California
Carole Moreno,Los Angeles Angels of Anaheim,MLB,Office of the Commissioner of Major League Baseball Political Action Committee,5000,2016,Bipartisan,Los Angeles, California
Carole Moreno,Los Angeles Angels of Anaheim,MLB,Office of the Commissioner of Major League Baseball Political Action Committee,5000,2020,Bipartisan,Los Angeles, California
Cathy Engelbert,Commissioner,WNBA,DELOITTE POLITICAL ACTION COMMITTEE,3750,2020,Bipartisan,New York, New York
Charles Johnson,San Francisco Giants,MLB,CONGRESSIONAL LEADERSHIP FUND,1850000,2018,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,RIGHT TO RISE USA,1500000,2016,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,SENATE LEADERSHIP FUND,1300000,2018,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,SENATE LEADERSHIP FUND,1000000,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,TAKE BACK THE HOUSE 2020,750000,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,CONGRESSIONAL LEADERSHIP FUND,500000,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,TEAM RYAN,472700,2018,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,TRUMP VICTORY,435200,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,CONGRESSIONAL LEADERSHIP FUND,300000,2016,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,REPUBLICAN NATIONAL COMMITTEE,282400,2016,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,TEAM RYAN,244200,2016,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,CORNYN MAJORITY COMMITTEE,150000,2018,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,FIGHTING FOR OHIO FUND,100000,2016,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,GREAT AMERICA PAC,100000,2016,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,NRSC TARGETED STATE VICTORY COMMITTEE,100000,2016,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,TRUMP VICTORY,100000,2016,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,NEW REPUBLICAN PAC,100000,2018,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,TRUMP VICTORY,100000,2018,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,1820 PAC,100000,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,MCCONNELL VICTORY COMMITTEE,81600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,SENATE LEADERSHIP FUND,75000,2016,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,INTEGRITY NJ,75000,2018,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,FIGHTING FOR FLORIDA FUND,50000,2016,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,VICTORY 2016,50000,2016,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,RESTORATION PAC,50000,2018,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,MOONEY VICTORY FUND,35600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,NRSC,35000,2018,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,THE 2016 COMMITTEE,30000,2016,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,MOONEY VICTORY FUND,30000,2018,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,RESTORATION PAC,25000,2016,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,"WE THE PEOPLE, NOT WASHINGTON",25000,2016,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,FLORIDA VOTES COUNT,25000,2018,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,STARS AND STRIPES FOREVER PAC,25000,2018,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,TEXANS FOR A CONSERVATIVE MAJORITY,25000,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,MOONEY VICTORY FUND,17800,2016,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,RENACCI FOR OHIO VICTORY FUND,15000,2018,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,BURR NC VICTORY FUND,12700,2016,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,STEIL VICTORY FUND,12700,2018,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,MIMI WALTERS VICTORY FUND,10800,2018,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,GRASSLEY HAWKEYE FUND,10400,2016,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,TOOMEY PENNSYLVANIA VICTORY FUND,10000,2016,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE,10000,2016,"Bipartisan, but mostly Republican",San Francisco, California
Charles Johnson,San Francisco Giants,MLB,MISSOURI RISING ACTION,10000,2018,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,PROTECT THE HOUSE,10000,2018,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,TRUE NORTH PAC,10000,2018,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE,10000,2018,"Bipartisan, but mostly Republican",San Francisco, California
Charles Johnson,San Francisco Giants,MLB,SCALISE LEADERSHIP FUND,10000,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,SENATE CONSERVATIVES ACTION,10000,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,UTAH REPUBLICAN PARTY,10000,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,VIGOP (VIRGIN ISLANDS REPUBLICAN PARTY),10000,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE (ICI PAC),10000,2020,"Bipartisan, but mostly Republican",San Francisco, California
Charles Johnson,San Francisco Giants,MLB,CORNYN MAJORITY COMMITTEE,7500,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,ALEX MOONEY FOR CONGRESS,5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,AMANDA MAKKI FOR CONGRESS,5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,"ANDY BARR FOR CONGRESS, INC.",5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,ANNA PAULINA LUNA FOR CONGRESS,5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,ASHLEY HINSON FOR CONGRESS,5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,"BOLDUC 2020, INC.",5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,BRIAN FITZPATRICK FOR CONGRESS,5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,CARLA SPALDING FOR CONGRESS,5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,CARMELITA FOR CONGRESS,5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,CAROL FOR CONGRESS,5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,CHIP ROY FOR CONGRESS,5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,CHURCH FOR WISCONSIN,5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,CUMMINGS FOR CONGRESS,5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,DARRELL ISSA FOR CONGRESS,5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,DON BACON FOR CONGRESS,5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,DOUG LAMALFA COMMITTEE,5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,ELISE FOR CONGRESS,5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,FISCHBACH FOR CONGRESS,5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,FRIENDS OF HAGEDORN,5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,"FRIENDS OF LEON BENJAMIN, INC.",5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,GARDNER VICTORY COMMITTEE,5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,HUIZENGA FOR CONGRESS,5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,HURD FOR CONGRESS,5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,JAIME FOR CONGRESS,5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,JASON LEWIS FOR SENATE,5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,JOHN CARTER FOR CONGRESS,5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,"JOHN JAMES FOR SENATE, INC.",5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,KATKO FOR CONGRESS,5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,KIM KLACIK FOR CONGRESS,5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,KISTNER FOR CONGRESS,5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,MARIO DIAZ-BALART FOR CONGRESS,5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,MAST VICTORY COMMITTEE,5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,"MCCAUL FOR CONGRESS, INC",5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,MCGUIRE FOR VIRGINIA,5600,2020,Republican,San Francisco, California
Charles Johnson,San Francisco Giants,MLB,MCSALLY FOR SENATE INC,5600,2020,Republican,San Francisco, California
